Id,Label,Latitude,Longitude
"Tanzania, United Republic of","Tanzania, United Republic of",-6.5247123,35.7878438
Malaysia,Malaysia,2.3923759,112.8471939
Samoa,Samoa,-13.7693895,-172.1200508
Kenya,Kenya,1.4419683,38.4313975
Curaçao,Curaçao,12.1845,-68.9640918594077
Saint Lucia,Saint Lucia,13.8250489,-60.975036
Bermuda,Bermuda,32.3018217,-64.7603583
Cook Islands,Cook Islands,-16.0492781,-160.3554851
Czech Republic,Czech Republic,49.8167003,15.4749544
Fiji,Fiji,-18.1239696,179.0122737
Azerbaijan,Azerbaijan,40.3936294,47.7872508
Cuba,Cuba,23.0131338,-80.8328748
Russian Federation,Russian Federation,64.6863136,97.7453061
Sri Lanka,Sri Lanka,7.878,80.7038245875
France,France,46.603354,1.8883335
Malta,Malta,35.8885993,14.4476911
St. Lucia,St. Lucia,13.8250489,-60.975036
Italy,Italy,42.6384261,12.674297
Angola,Angola,-11.8775768,17.5691241
Guam,Guam,13.4501257,144.757551029721
Tunisia,Tunisia,33.8439408,9.400138
Costa Rica,Costa Rica,10.2735633,-84.0739102
Mexico,Mexico,19.4326009,-99.1333416
Grenada,Grenada,12.1360374,-61.6904045
Ghana,Ghana,8.0300284,-1.0800271
Chile,Chile,-31.7613365,-71.3187697
Lesotho,Lesotho,-29.6039267,28.3350193
"Venezuela, Bolivarian Republic of","Venezuela, Bolivarian Republic of",8.0018709,-66.1109318
Guernsey,Guernsey,49.46229125,-2.58120225032944
South Africa,South Africa,-28.8166236,24.991639
United States,United States,39.7837304,-100.4458825
Japan,Japan,36.5748441,139.2394179
Macao,Macao,22.1899448,113.5380454
Djibouti,Djibouti,11.85677545,42.7577845199437
Georgia,Georgia,32.3293809,-83.1137366
El Salvador,El Salvador,13.8000382,-88.9140683
Egypt,Egypt,26.2540493,29.2675469
Senegal,Senegal,14.4750607,-14.4529612
Brazil,Brazil,-10.3333333,-53.2
Lithuania,Lithuania,55.3500003,23.7499997
Serbia,Serbia,44.1534121,20.55144
Uruguay,Uruguay,-32.8755548,-56.0201525
Mauritius,Mauritius,-20.2759451,57.5703566
Trinidad and Tobago,Trinidad and Tobago,10.8677845,-60.9821067
Sudan,Sudan,14.5844444,29.4917691
Côte d'Ivoire,Côte d'Ivoire,7.9897371,-5.5679458
Puerto Rico,Puerto Rico,18.2017809,-66.5841246
Panama,Panama,8.3096067,-81.3066246
Sweden,Sweden,59.6749712,14.5208584
Poland,Poland,52.0977181,19.0258159
Liberia,Liberia,5.7499721,-9.3658524
Germany,Germany,51.0834196,10.4234469
Mali,Mali,16.3700359,-2.2900239
Slovenia,Slovenia,45.8133113,14.4808369
Seychelles,Seychelles,-4.6574977,55.4540146
Iceland,Iceland,64.9841821,-18.1059013
Paraguay,Paraguay,-23.3165935,-58.1693445
Turkey,Turkey,38.9597594,34.9249653
Isle of Man,Isle of Man,54.2358167,-4.51459874569825
Israel,Israel,30.8760272,35.0015196
Saudi Arabia,Saudi Arabia,25.6242618,42.3528328
Uzbekistan,Uzbekistan,41.32373,63.9528098
Niue,Niue,-19.0536414,-169.8613411
Spain,Spain,40.0028028,-4.003104
Bahamas,Bahamas,24.7736546,-78.0000547
British Virgin Islands,British Virgin Islands,18.4024395,-64.5661642
Peru,Peru,-6.8699697,-75.0458515
Honduras,Honduras,15.0610686,-84.5978534
Dominica,Dominica,15.4113138,-61.3653618
Zimbabwe,Zimbabwe,-18.4554963,29.7468414
"Virgin Islands, British","Virgin Islands, British",18.4024395,-64.5661642
Turks and Caicos Islands,Turks and Caicos Islands,21.7214683,-71.6201783
Denmark,Denmark,55.670249,10.3333283
Norway,Norway,64.574131,11.5270102892405
"Macedonia, the Former Yugoslav Republic of","Macedonia, the Former Yugoslav Republic of",41.6171214,21.7168387
Dominican Republic,Dominican Republic,19.0974031,-70.3028026
Sint Maarten (Dutch part),Sint Maarten (Dutch part),17.9345,-63.1539330807882
Cameroon,Cameroon,4.6125522,13.1535811
Guatemala,Guatemala,15.6356088,-89.8988087
"Iran, Islamic Republic of","Iran, Islamic Republic of",32.9407496,52.9471344
Netherlands,Netherlands,52.2379891,5.53460738161551
Chad,Chad,15.6134137,19.0156172
Belgium,Belgium,50.6407351,4.66696
"Taiwan, Province of China","Taiwan, Province of China",23.553118,121.0211024
Not identified,Not identified,400,400
Undetermined,Undetermined,400,400
British Anguilla,British Anguilla,18.22083,-63.05167
"Korea, Democratic People's Republic of","Korea, Democratic People's Republic of",39.03385,125.75432
"Virgin Islands, U.S.","Virgin Islands, U.S.",18.3434415,-64.8671634

